-1.242151,1.628115,0.782528,-0.010754,-0.014531,0.718318,-0.69548,-0.083221,0.022047,0.169651,0.163314,-0.166576,0.035133,-0.089417,0.003389,-0.171232,0.239824,-0.194485,0.012653,0.003826,-0.024462,0.01721,0.015239,0.247415,-0.217829,1.189106,0.235356,0.296113,-0.849369,0.056901,-0.248335,0.253199,0.964157,-0.416044,0.472123,0.806307
-1.242157,1.627673,0.782524,-0.01098,-0.014664,0.718248,-0.695546,-0.083128,0.021828,0.169517,0.163244,-0.167322,0.035212,-0.089396,0.003236,-0.170947,0.240219,-0.195429,0.012874,0.003656,-0.024448,0.017271,0.014054,0.247592,-0.217354,1.192483,0.23577,0.295553,-0.851749,0.056871,-0.248576,0.252744,0.96403,-0.415348,0.471823,0.806057
-1.242152,1.627212,0.782501,-0.011164,-0.014839,0.718202,-0.695586,-0.083151,0.02176,0.169491,0.163464,-0.167709,0.035266,-0.089365,0.003184,-0.171279,0.240415,-0.196502,0.01225,0.003677,-0.024244,0.01767,0.013567,0.248013,-0.217752,1.193318,0.23613,0.295376,-0.851884,0.056771,-0.248743,0.252753,0.96397,-0.414846,0.471546,0.805818
-1.242162,1.626605,0.782495,-0.011403,-0.015064,0.718124,-0.695658,-0.083252,0.021712,0.169245,0.164121,-0.169165,0.035228,-0.089279,0.003162,-0.170966,0.240837,-0.197553,0.012314,0.003944,-0.024113,0.01801,0.013725,0.247976,-0.217226,1.194601,0.234728,0.294323,-0.852388,0.056779,-0.248786,0.253021,0.964394,-0.414403,0.471498,0.80539
-1.242181,1.625926,0.782453,-0.011739,-0.015348,0.718161,-0.695609,-0.083487,0.021727,0.169385,0.164749,-0.170321,0.035458,-0.089292,0.003173,-0.171218,0.240756,-0.198834,0.01142,0.003718,-0.023871,0.018297,0.013693,0.248152,-0.217537,1.196256,0.234433,0.293274,-0.853909,0.056476,-0.249007,0.254117,0.96449,-0.414858,0.472171,0.805068
-1.242183,1.625082,0.782414,-0.011998,-0.015653,0.718211,-0.695546,-0.08324,0.021723,0.169173,0.165066,-0.171994,0.035728,-0.08941,0.003347,-0.170665,0.241687,-0.200251,0.010995,0.00397,-0.023642,0.018554,0.013438,0.248894,-0.219033,1.195763,0.236535,0.293354,-0.855274,0.056838,-0.249369,0.253755,0.963805,-0.414433,0.472544,0.804337
-1.242314,1.624042,0.782365,-0.012323,-0.01594,0.718413,-0.695325,-0.082834,0.022038,0.169517,0.165909,-0.174448,0.035121,-0.089799,0.003698,-0.169516,0.243413,-0.202118,0.010064,0.004177,-0.023749,0.018998,0.014667,0.249867,-0.219612,1.194848,0.236853,0.292957,-0.855452,0.057189,-0.249377,0.252944,0.963465,-0.412948,0.47258,0.802771
-1.242465,1.622912,0.782291,-0.012695,-0.016312,0.718951,-0.694753,-0.082229,0.022623,0.170583,0.166481,-0.176909,0.034525,-0.090993,0.004411,-0.167821,0.246198,-0.204879,0.007482,0.004496,-0.023623,0.019679,0.015804,0.250474,-0.219616,1.195194,0.235687,0.29202,-0.855145,0.056655,-0.249688,0.253928,0.963223,-0.413314,0.473109,0.802119
-1.242683,1.621547,0.78226,-0.013125,-0.01669,0.719682,-0.693979,-0.080839,0.023339,0.172297,0.166412,-0.180346,0.033401,-0.093132,0.005403,-0.164851,0.251367,-0.208731,0.003063,0.004053,-0.023681,0.020126,0.017571,0.250971,-0.218574,1.196967,0.233812,0.290948,-0.854819,0.055914,-0.249859,0.252847,0.963026,-0.413269,0.474029,0.801747
-1.243013,1.619955,0.782232,-0.013541,-0.017156,0.720926,-0.692667,-0.079014,0.024736,0.175007,0.166568,-0.184782,0.031791,-0.096872,0.006792,-0.16091,0.259667,-0.213357,-0.003468,0.003186,-0.023426,0.020703,0.019308,0.2512,-0.215118,1.200714,0.231345,0.290009,-0.853951,0.055481,-0.250138,0.250722,0.961301,-0.411742,0.474557,0.799944
