-0.075305,-2.685815,0.78943,0.001121,0.014451,-0.01332,0.999806,-0.039196,0.054216,0.044289,0.134197,-0.138771,-0.077652,-0.081968,-0.026724,-0.055827,0.194294,-0.17428,0.009655,-0.005169,-0.01319,-0.074569,0.253126,0.385744,-0.2831,0.816477,0.2629,0.350373,-0.129418,0.194575,-0.266717,0.196203,0.815752,-0.364812,0.452719,0.840465
-0.075805,-2.687561,0.789535,0.001437,0.01353,-0.013194,0.99982,-0.041392,0.056304,0.043801,0.141736,-0.139498,-0.078034,-0.087794,-0.025085,-0.056264,0.209534,-0.179333,0.00347,-0.004362,-0.01427,-0.072458,0.244502,0.39193,-0.290502,0.829559,0.265738,0.339391,-0.102847,0.189328,-0.287019,0.224382,0.822324,-0.331025,0.420144,0.769968
-0.076198,-2.689525,0.789511,0.001608,0.012862,-0.012302,0.99984,-0.043976,0.058664,0.041721,0.147908,-0.140171,-0.07925,-0.092916,-0.023212,-0.058217,0.223377,-0.184898,-0.002305,-0.00564,-0.014616,-0.07099,0.240646,0.395011,-0.293321,0.836959,0.265236,0.3328,-0.08637,0.182604,-0.307606,0.254396,0.830637,-0.30266,0.385038,0.691237
-0.076347,-2.691762,0.789424,0.001932,0.012357,-0.011001,0.999861,-0.045988,0.060911,0.039093,0.152831,-0.140393,-0.079801,-0.096024,-0.021519,-0.061156,0.233202,-0.189492,-0.006811,-0.007325,-0.014558,-0.070551,0.240184,0.395919,-0.292648,0.839425,0.262593,0.331931,-0.080203,0.176182,-0.325821,0.283448,0.840796,-0.280555,0.347999,0.611118
-0.076602,-2.694146,0.789367,0.002549,0.01201,-0.00956,0.999879,-0.0484,0.062497,0.036268,0.157087,-0.140189,-0.081619,-0.097783,-0.020332,-0.064223,0.239186,-0.193152,-0.010006,-0.007452,-0.01403,-0.069478,0.242121,0.393926,-0.287421,0.836525,0.25768,0.335901,-0.083753,0.169678,-0.339401,0.30769,0.853059,-0.265347,0.315493,0.534084
-0.076931,-2.696707,0.789355,0.003215,0.01208,-0.008564,0.999885,-0.051824,0.064556,0.034621,0.161691,-0.139356,-0.08212,-0.099586,-0.018618,-0.066458,0.242572,-0.195566,-0.013404,-0.005472,-0.012208,-0.06771,0.246741,0.387545,-0.273649,0.829437,0.248864,0.34266,-0.092776,0.162977,-0.349806,0.326973,0.865276,-0.25911,0.290055,0.470816
-0.077585,-2.699487,0.789306,0.004236,0.012439,-0.007538,0.999885,-0.059356,0.065964,0.031629,0.171901,-0.139322,-0.080905,-0.102403,-0.017369,-0.068942,0.245946,-0.19855,-0.017326,-0.001636,-0.009403,-0.063353,0.252636,0.377557,-0.253076,0.818634,0.235766,0.352524,-0.102783,0.156378,-0.356584,0.340632,0.875978,-0.255282,0.273241,0.42269
-0.079001,-2.702315,0.789188,0.005074,0.012596,-0.005723,0.999891,-0.071631,0.067777,0.027193,0.190191,-0.141766,-0.079578,-0.108751,-0.016354,-0.072734,0.255579,-0.202786,-0.022282,0.001784,-0.004661,-0.053919,0.258871,0.364869,-0.227971,0.803553,0.216875,0.364596,-0.108842,0.148279,-0.360756,0.348263,0.882687,-0.251281,0.264268,0.392732
-0.081127,-2.705153,0.788736,0.006605,0.011834,-0.003576,0.999902,-0.090505,0.067788,0.021491,0.223072,-0.148708,-0.078778,-0.117543,-0.01781,-0.076573,0.272713,-0.211574,-0.025116,0.006842,0.000674,-0.037492,0.262225,0.350294,-0.200047,0.787136,0.191178,0.376262,-0.106787,0.139727,-0.363224,0.349554,0.885858,-0.243341,0.262005,0.379226
-0.084386,-2.707499,0.788003,0.008833,0.010287,0.000534,0.999908,-0.119771,0.0646,0.014156,0.274,-0.154243,-0.079431,-0.128608,-0.023695,-0.084254,0.296599,-0.223461,-0.024869,0.012008,0.007657,-0.014227,0.259896,0.335809,-0.173487,0.770762,0.161874,0.387435,-0.094901,0.130131,-0.367061,0.34593,0.885447,-0.231499,0.267825,0.378562
-0.087983,-2.709039,0.787593,0.011282,0.009187,0.008738,0.999856,-0.164057,0.057158,0.000433,0.345573,-0.143764,-0.092872,-0.140555,-0.033966,-0.098536,0.32283,-0.234653,-0.026682,0.012559,0.015589,0.007792,0.25455,0.319516,-0.146829,0.758454,0.128714,0.392688,-0.071037,0.122345,-0.375506,0.345525,0.882288,-0.225215,0.279631,0.399117
-0.091718,-2.709426,0.787227,0.012699,0.00945,0.021187,0.99965,-0.223474,0.049886,-0.012701,0.428704,-0.112738,-0.139542,-0.155466,-0.047094,-0.119969,0.350967,-0.244095,-0.029281,0.005354,0.025053,0.02461,0.246532,0.302532,-0.117631,0.753433,0.096278,0.395728,-0.036632,0.115207,-0.389521,0.348507,0.878746,-0.227347,0.294756,0.437803
-0.095227,-2.708748,0.786645,0.013348,0.010879,0.035074,0.999236,-0.285832,0.053112,-0.004295,0.507531,-0.084857,-0.230109,-0.17464,-0.062533,-0.144436,0.38394,-0.253709,-0.030702,-0.005834,0.033796,0.036309,0.240789,0.292216,-0.088518,0.748063,0.064068,0.396872,0.012582,0.107688,-0.403903,0.345283,0.879036,-0.23507,0.313153,0.483843
-0.098616,-2.703781,0.786125,0.021599,0.014343,0.051304,0.998346,-0.335925,0.045134,0.040888,0.558226,-0.089356,-0.261796,-0.197429,-0.104189,-0.163044,0.421047,-0.268069,-0.022548,-0.020841,0.026186,0.040031,0.240177,0.29791,-0.074293,0.741853,0.043055,0.394337,0.062227,0.101747,-0.414368,0.325966,0.885658,-0.24157,0.333995,0.525126
-0.099892,-2.701693,0.785885,0.025619,0.016382,0.060743,0.99769,-0.374691,0.081567,0.078582,0.603153,-0.102944,-0.2618,-0.209315,-0.126007,-0.174444,0.44261,-0.276632,-0.01966,-0.02372,0.019962,0.040874,0.240096,0.311591,-0.063211,0.751959,0.029915,0.38377,0.098448,0.0997,-0.415977,0.294788,0.895834,-0.240891,0.351931,0.554586
-0.098711,-2.700184,0.785985,0.025228,0.016248,0.061731,0.997642,-0.391473,0.142997,0.085226,0.624968,-0.107477,-0.254168,-0.209549,-0.128796,-0.175561,0.448346,-0.279104,-0.016679,-0.014983,0.019416,0.041025,0.239183,0.320901,-0.044689,0.783064,0.023138,0.368364,0.120689,0.100347,-0.415719,0.264234,0.904859,-0.23787,0.369016,0.571599
-0.096772,-2.69386,0.787057,0.031336,0.016152,0.061299,0.997497,-0.38913,0.175943,0.078891,0.609236,-0.077635,-0.214857,-0.206954,-0.151493,-0.166101,0.450532,-0.278627,-0.004336,-0.0109,0.007659,0.039413,0.243727,0.327026,-0.029785,0.820121,0.025677,0.356756,0.131896,0.097632,-0.420579,0.241421,0.9138,-0.237211,0.385033,0.578708
-0.093682,-2.685626,0.788051,0.037224,0.015411,0.057755,0.997518,-0.366828,0.203934,0.057554,0.56018,-0.018894,-0.184616,-0.200666,-0.173678,-0.151046,0.44843,-0.27853,0.010176,-0.008048,-0.005921,0.036985,0.25553,0.330194,-0.012165,0.859642,0.028107,0.35116,0.143956,0.094763,-0.427273,0.227588,0.917928,-0.235973,0.394279,0.578745
-0.090166,-2.675355,0.788179,0.041308,0.014259,0.052063,0.997687,-0.32816,0.229045,0.02693,0.484369,0.049419,-0.177555,-0.195569,-0.193853,-0.133367,0.449403,-0.279419,0.027893,-0.006743,-0.017682,0.035166,0.26978,0.329407,0.00753,0.900379,0.024419,0.348191,0.166047,0.090854,-0.436903,0.222441,0.917492,-0.230354,0.393237,0.571352
-0.086332,-2.662797,0.786977,0.04279,0.012908,0.045105,0.997982,-0.280136,0.251388,-0.010999,0.397777,0.108416,-0.184763,-0.19333,-0.210957,-0.113126,0.455956,-0.283442,0.047149,-0.006477,-0.025408,0.03296,0.283272,0.326292,0.024697,0.939979,0.018827,0.344325,0.194919,0.087005,-0.450231,0.226097,0.914553,-0.220455,0.384449,0.554958
-0.082315,-2.647498,0.784767,0.04168,0.011321,0.038347,0.998331,-0.230788,0.270659,-0.049399,0.317526,0.153842,-0.185089,-0.193338,-0.226751,-0.0935,0.468131,-0.288254,0.067021,-0.007306,-0.028159,0.030216,0.294016,0.321503,0.036202,0.976136,0.015001,0.338094,0.227389,0.083909,-0.465527,0.233904,0.913497,-0.207126,0.373944,0.527584
-0.078032,-2.629019,0.781454,0.038048,0.009408,0.031957,0.99872,-0.186982,0.284771,-0.086358,0.259226,0.18658,-0.16995,-0.191994,-0.241955,-0.07469,0.479341,-0.291509,0.0907,-0.00784,-0.025243,0.026552,0.302086,0.31558,0.038201,1.004859,0.015895,0.331932,0.258212,0.080607,-0.484344,0.245078,0.918323,-0.192429,0.361878,0.491765
-0.073879,-2.606418,0.775837,0.024394,0.008384,0.027368,0.999293,-0.142361,0.303064,-0.124976,0.206523,0.18392,-0.207092,-0.189911,-0.242373,-0.065745,0.488049,-0.28933,0.118915,-0.00887,-0.002645,0.019687,0.306175,0.307897,0.033073,1.021434,0.022807,0.325433,0.283941,0.077531,-0.503219,0.25402,0.931728,-0.178682,0.352047,0.449992
-0.070333,-2.577452,0.769891,0.017538,0.009041,0.033211,0.999254,-0.115329,0.294771,-0.070575,0.18786,0.08104,-0.261793,-0.184177,-0.276257,-0.066856,0.491368,-0.277509,0.164108,-0.025046,0.008957,0.008012,0.308734,0.299757,0.014626,1.019535,0.038767,0.324767,0.295278,0.076628,-0.524544,0.257319,0.951962,-0.166266,0.342999,0.406536
-0.067962,-2.545595,0.765573,0.014051,0.011673,0.040401,0.999017,-0.104682,0.262845,-0.022269,0.194191,-0.054243,-0.2618,-0.180089,-0.32162,-0.066898,0.48296,-0.237845,0.203793,-0.039121,0.009258,-0.005612,0.303708,0.298969,-0.014315,1.002288,0.062065,0.333984,0.287566,0.079227,-0.535886,0.250255,0.973304,-0.154137,0.334861,0.357359
-0.067161,-2.515227,0.765146,0.006753,0.01428,0.045895,0.998821,-0.11397,0.236668,-0.017867,0.218699,-0.132904,-0.2618,-0.171198,-0.350711,-0.068026,0.45232,-0.15569,0.227578,-0.043959,0.008381,-0.014267,0.287835,0.314854,-0.056356,0.969673,0.095272,0.353152,0.254205,0.087579,-0.52258,0.214345,0.992137,-0.130729,0.325819,0.290293
-0.068953,-2.486644,0.768661,-0.004589,0.017076,0.050858,0.998549,-0.145308,0.220916,-0.039521,0.263562,-0.154396,-0.2618,-0.161638,-0.365162,-0.079659,0.405783,-0.040647,0.232912,-0.042956,0.010427,-0.014908,0.259336,0.353596,-0.116065,0.924491,0.141623,0.3728,0.195627,0.099627,-0.480108,0.148969,1.004538,-0.095286,0.313722,0.202351
-0.072887,-2.45932,0.774816,-0.014101,0.021731,0.047771,0.998522,-0.177514,0.204239,-0.045402,0.306294,-0.157414,-0.226026,-0.17389,-0.380462,-0.11109,0.370363,0.063548,0.172709,-0.025762,0.013327,-0.0153,0.223114,0.395064,-0.167955,0.877024,0.179809,0.380658,0.124515,0.121034,-0.425742,0.097836,0.996815,-0.052381,0.292435,0.100356
-0.077685,-2.433036,0.780167,-0.016591,0.025823,0.035505,0.998898,-0.185992,0.176246,-0.017841,0.316473,-0.154517,-0.171645,-0.203344,-0.399748,-0.137208,0.367968,0.067494,0.03656,-0.00246,0.012729,-0.016552,0.194437,0.417272,-0.18868,0.830945,0.181595,0.387291,0.071104,0.136419,-0.388863,0.103437,0.976166,-0.026623,0.269225,0.029006
-0.081842,-2.412575,0.78364,-0.020613,0.029843,0.025571,0.999015,-0.185902,0.160733,0.00706,0.303034,-0.152217,-0.145617,-0.232724,-0.360498,-0.089249,0.399144,-0.055825,0.026088,0.000782,0.008979,-0.020055,0.18451,0.438303,-0.175592,0.779827,0.14963,0.394591,0.035897,0.138854,-0.369806,0.159086,0.941795,-0.038724,0.249561,0.019672
-0.085523,-2.395066,0.785605,-0.024667,0.028765,0.02253,0.999028,-0.177157,0.146111,0.021238,0.287,-0.153412,-0.135304,-0.258663,-0.305104,-0.081265,0.476139,-0.191792,0.052851,-0.018759,0.003536,-0.012602,0.179649,0.447385,-0.141488,0.745963,0.098611,0.394344,0.019338,0.135426,-0.366943,0.220032,0.895997,-0.085847,0.245334,0.06623
-0.088131,-2.379765,0.786413,-0.025817,0.026555,0.023057,0.999048,-0.169704,0.125065,0.027835,0.278174,-0.156363,-0.122527,-0.266508,-0.247962,-0.1004,0.53531,-0.287353,0.075085,-0.043215,-0.005394,-0.003299,0.177108,0.44999,-0.107024,0.725237,0.046854,0.399394,0.014478,0.135503,-0.362496,0.25257,0.857845,-0.131779,0.257872,0.123971
-0.089647,-2.366593,0.786677,-0.023522,0.025705,0.023844,0.999108,-0.163532,0.098694,0.033356,0.26858,-0.158391,-0.103954,-0.256882,-0.173025,-0.101667,0.542516,-0.343722,0.118423,-0.055578,-0.015987,-0.002968,0.174025,0.447686,-0.083301,0.714651,0.006586,0.407178,0.013992,0.142517,-0.348222,0.256121,0.845373,-0.154988,0.271872,0.182697
-0.090532,-2.354988,0.786007,-0.01692,0.025364,0.026468,0.999185,-0.157022,0.063885,0.037576,0.257184,-0.160473,-0.084454,-0.234814,-0.075658,-0.053304,0.498487,-0.372918,0.185489,-0.05814,-0.029058,-0.005862,0.171269,0.441185,-0.070211,0.706808,-0.015132,0.414523,0.014234,0.155753,-0.33645,0.251384,0.84083,-0.16409,0.28081,0.244739
